# Extracted from http://www.earthbyte.org/Resources/ICONS/ch4.html#x1-960004.3.4
# latitude longitude sediment_thickness(meters)
-40.00000 292.55000 nan
-40.00000 292.60000 nan
-40.00000 292.65000 nan
-40.00000 292.70000 nan
-40.00000 292.75000 nan
-40.00000 292.80000 nan
-40.00000 292.85000 nan
-40.00000 292.90000 nan
-40.00000 292.95000 nan
-40.00000 293.00000 nan
-40.00000 293.05000 nan
-40.00000 293.10000 nan
-40.00000 293.15000 nan
-40.00000 293.20000 nan
-40.00000 293.25000 nan
-40.00000 293.30000 nan
-40.00000 293.35000 nan
-40.00000 293.40000 nan
-40.00000 293.45000 nan
-40.00000 293.50000 nan
-40.00000 293.55000 nan
-40.00000 293.60000 nan
-40.00000 293.65000 nan
-39.95000 289.15000 nan
-39.95000 289.20000 nan
-39.95000 289.25000 nan
-39.95000 289.30000 nan
-39.95000 289.35000 nan
-39.95000 289.40000 23.59939
-39.95000 289.45000 264.57977
-39.95000 289.50000 478.74820
-39.95000 289.55000 723.94788
-39.95000 289.60000 992.18357
-39.95000 289.65000 1140.05971
-39.95000 289.70000 1170.44902
-39.95000 289.75000 1202.33464
-39.95000 289.80000 1239.70008
-39.95000 289.85000 1190.99653
-39.95000 289.90000 1134.30429
-39.95000 289.95000 1121.05739
-39.95000 290.00000 1144.20605
-39.95000 290.05000 1139.98818
-39.95000 290.10000 1133.96072
-39.95000 290.15000 1070.78433
-39.95000 290.20000 1001.32024
-39.95000 290.25000 886.01589
-39.95000 290.30000 785.87604
-39.95000 290.35000 683.40194
-39.95000 290.40000 523.03314
-39.95000 290.45000 352.10061
-39.95000 290.50000 246.61374
-39.95000 290.55000 95.85500
-39.95000 290.60000 nan
-39.95000 290.65000 nan
-39.95000 290.70000 nan
-39.95000 290.75000 nan
-39.95000 290.80000 nan
-39.95000 290.85000 nan
-39.95000 290.90000 nan
-39.95000 290.95000 nan
-39.95000 291.00000 nan
-39.95000 291.05000 nan
-39.95000 291.10000 nan
-39.95000 291.15000 nan
-39.95000 291.20000 nan
-39.95000 291.25000 nan
